,original,counterfactual,original_dataset_label,sentence_label,counterfactual_label,flip,similarity
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments, resembles a bad high school production of grease, without benefit of song .",0,0,0,0,0.9696969696969697
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness, but it does so with such an uneven tone that you never know when humor ends and tragedy begins.",0,0,0,0,0.9826589595375722
21,the iditarod lasts for days - this just felt like it did . ,the Iditarod lasts for days - this just felt like it did .,0,0,0,0,0.9661016949152542
22,holden caulfield did it better . ,"hold up,  Ca  did  it  better  .",0,1,1,1,0.5454545454545454
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a vanligt and,",1,1,0,1,0.10989010989010994
24,seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie so closely matched the spirit of a man and his work.,1,1,1,0,0.9726027397260274
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",,0,0,1,1,0.0
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present, but the material link is too tenuous to Anchor the emotional connections that are supposed to span a 125-year divide.",0,0,0,0,0.9202453987730062
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.,1,1,1,0,0.9767441860465116
28,"it 's a cookie-cutter movie , a cut-and-paste job . ","it's a cookie-cutter movie, a cut-and-paste job.",0,0,0,0,0.9230769230769231
29,i had to look away - this was god awful . ,i had to look away - this was god awful .,0,0,0,0,0.9761904761904762
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks to Scott 's charismatic, eisenberg, and eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg, eisenberg",1,1,0,1,0.272
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","...designed to provide a mix of smiles and tears, ""crossroads"" instead of provoking a handful of unintentional howlers and numerous yawns.",0,0,1,1,0.8873239436619719
32,"a gorgeous , witty , seductive movie . ","a gorgeous, witty, seductive movie.",1,1,1,0,0.8974358974358975
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of there but for the grace of god, it is far too self-conscious to draw you deeply into its world.",0,0,0,0,0.9545454545454546
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself, it has no sense of humor, it's just plain bored .",0,0,0,0,0.9186046511627907
35,a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of ridiculous shoot - 'em - up scenes .,0,1,1,1,0.9803921568627451
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",1,1,1,0,0.99375
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism, jane goodall's wild chimpanzees is short on the thrills the oversize medium demands .",0,0,0,0,0.9802631578947368
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as detailed as a photograph, as visually dexterous as it is at times imaginatively overwhelming.",1,1,1,0,0.976
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio,",1,1,0,1,0.21505376344086025
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","There;s ...  tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate.",1,1,1,0,0.9363636363636364
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath . . .",1,1,1,0,0.9731543624161074
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,"the subtle strength of ""elling"" is that it never loses touch with the reality of the grim situation .",1,1,1,0,0.9339622641509434
43,holm ... embodies the character with an effortlessly regal charisma . ,holm ... embodies the character with an effortlessly-regal charisma .,1,1,1,0,0.9714285714285714
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters, but also the lazy people behind the camera as well.",0,1,1,1,0.9207920792079208
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0,0,0,0,0.979381443298969
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a synthesis of clichés and absurdities that seems positively decadent in its cinematic flash and emptiness .,0,1,0,0,0.981651376146789
47,a subtle and well-crafted ( for the most part ) chiller . ,a subtle and well-crafted (for the most part) Chiller .,1,1,1,0,0.9310344827586207
48,has a lot of the virtues of eastwood at his best . ,has a lot of the virtues of eastwood at his best .,1,1,1,0,0.9803921568627451
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it's 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth.,0,0,0,0,0.9578947368421052
